University,supervisor,title,Duration
The University of North Carolina at Chapel Hill,['Dr. Barbara L. Fredrickson'],Positive Psychology ,6 weeks long
Relay Graduate School of Education,['Maia Heyck-Merlin'],Get Organized: How to be a Together Teacher,Indeterminate Duration
University of Minnesota,"['Karen  Monsen, Ph.D., RN, FAAN']",Interprofessional Healthcare Informatics ,Indeterminate Duration
Duke University,['Dr. David Boyd'],The Challenges of Global Health,Indeterminate Duration
The Ohio State University,"['Jim Fowler, PhD']",Calculus Two: Sequences and Series,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Tobias Kretschmer'],???????????,Indeterminate Duration
The University of North Carolina at Chapel Hill,"['Dr.  Karin Yeatts  ', 'Dr. Lorraine Alexander  ']",Epidemiology: The Basic Science of Public Health,Indeterminate Duration
The University of Edinburgh,['Charles Cockell'],Astrobiology and the Search for Extraterrestrial Life,Indeterminate Duration
University of Kentucky,"['Dr. Allison Soult', 'Dr. Kim Woodrum']",Advanced Chemistry,Indeterminate Duration
University of Toronto,['Nicholas James Provart'],Bioinformatic Methods I,Indeterminate Duration
Technical University of Denmark (DTU),"['Eva Bundgaard', 'Frederik C. Krebs', 'Mikkel Jørgensen', 'Morten Vesterager Madsen']",Organic Solar Cells - Theory and Practice,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Tobias Kretschmer'],Advanced Competitive Strategy,Indeterminate Duration
University of Virginia,['Professor Peter S. Onuf'],Age of Jefferson,Indeterminate Duration
Columbia University,"['Martin Haugh', 'Garud Iyengar']",Financial Engineering and Risk Management Part II,Indeterminate Duration
The Museum of Modern Art,['Lisa Mazzola'],Art and Inquiry: Museum Teaching Strategies For Your Classroom ,Indeterminate Duration
University of Virginia,['R. Edward Freeman  '],New Models of Business in Society,Indeterminate Duration
Wesleyan University,['Richard Adelstein'],Property and Liability: An Introduction to Law and Economics,Indeterminate Duration
University of Virginia,['Professor Larry J. Sabato  '],The Kennedy Half Century,Indeterminate Duration
New Teacher Center,['Kevin Drinkard'],Common Core in Action: Math Classroom Challenges- Using Formative Assessment to Guide Instruction,6 weeks long
Commonwealth Education Trust,"['Professor Tony Townsend', 'Professor John MacBeath', 'Dr Fawaz Shareef']",Foundations of Teaching for Learning 8: Developing Relationships,6 weeks long
University of Michigan,['Scott E. Page'],Model Thinking,10 weeks long
University of Copenhagen,['Thomas Bjarnsholt'],Bacteria and Chronic Infections,6 weeks long
Icahn School of Medicine at Mount Sinai,"['Susana Neves, PhD', 'Ravi Iyengar, PhD']",Integrated Analysis in Systems Biology,4 weeks long
"University of California, San Francisco","['Wylie Burke, MD, PhD', 'Barbara A. Koenig, PhD', 'Julie N. Harris-Wai, Ph.D., MPH']",Ethical and Social Challenges of Genomic and Precision Medicine,7 weeks long
University of Manchester,"['Dr Roger Harrison', 'Dr Arpana Verma']",An Introduction to Population Health,6 weeks long
Universiteit Leiden,"['Sjoerd Douma', 'Frank Engelen', 'Kees van Raad', 'Stefano Simontacchi']",Rethinking International Tax Law,6 weeks long
"University of California, San Francisco","['Maria Wamsley, M.D.', 'Angel Chen, RN, MSN, PNP', 'Josette Rivera, MD', 'Susan Hyde, DDS, MPH, PhD', 'Rebecca Shunk, MD']",Collaboration and Communication in Healthcare: Interprofessional Practice,5 weeks long
Georgia Institute of Technology,['Dr. Nick Feamster'],Software Defined Networking,8 weeks long
University of Pennsylvania,['Peter Struck'],Greek and Roman Mythology,10 weeks long
Northwestern University,"['John Lavine', 'Candy Lee']",Content Strategy for Professionals 2: Expanding Your Content’s Impact and Reach,6 weeks long
University of Colorado System,"['Dr. Jay Lemery, MD']",Foundations for Global Health Responders,6 weeks long
"University of California, San Francisco","['John Featherstone, MSc, PhD']",Caries Management by Risk Assessment (CAMBRA),6 weeks long
The University of Edinburgh,"['Beth Christie', 'Pete Higgins']",Learning for Sustainability: Developing a personal ethic,5 weeks long
"University of California, Irvine",['Cindy  Carbajal'],Foundations of Virtual Instruction,5 weeks long
Universitat Autònoma de Barcelona,['Jordi Vallverdú'],Emotions: a Philosophical Introduction,6 weeks long
The University of Edinburgh,['Dr Victoria Sandilands'],Chicken Behaviour and Welfare,5 weeks long
American Museum of Natural History,"['Joel Cracraft, Ph.D.', 'David Randle, Ph.D.']",Evolution: A Course for Educators,4 weeks long
"Nanyang Technological University, Singapore",['Alan K. L. Chan'],Explorations in Confucian Philosophy,8 weeks long
Tel Aviv University,"['Professor Asher  Susser', 'Duygu Atlas']",The Emergence of the Modern Middle East - Part II,5 weeks long
Rice University,"['Luay Nakhleh', 'Scott Rixner', 'Joe Warren']",Algorithmic Thinking (Part 1),4 weeks long
Johns Hopkins University,['William Brieger'],Community Change in Public Health,6 weeks long
University of Copenhagen,['Flemming Konradsen'],An Introduction to Global Health,6 weeks long
University of Illinois at Urbana-Champaign,['ChengXiang Zhai'],Text Mining and Analytics,4 weeks long
"University of California, Irvine",['Chris Long'],Advanced Instructional Strategies in the Virtual Classroom,5 weeks long
The University of Melbourne,"['Prof. Greg Restall', 'Dr Jen Davoren']",Logic: Language and Information 2,8 weeks long
University of New Mexico,['Eliseo (Cheo) Torres'],Curanderismo Part 1: Traditional Healing of the Body,6 weeks long
The University of Melbourne,"['Raoul Mulder', 'Mark Elgar']",Animal Behaviour,8 weeks long
University of Illinois at Urbana-Champaign,['John C. Hart'],Data Visualization,4 weeks long
New Teacher Center,['Lisa Mount'],Common Core in Action II: Exploring Literacy Design Collaborative Tools,6 weeks long
University of Colorado Boulder,"['Anne U.  Gold', 'Eric Gordon']",Water in the Western United States,5 weeks long
The University of Edinburgh,"['Andy Lawrence', 'Catherine Heymans']",AstroTech: The Science and Technology behind Astronomical Discovery,6 weeks long
Vanderbilt University,['Dr. Douglas C. Schmidt'],Programming Mobile Services for Android Handheld Systems: Communication,4 weeks long
Universiteit Leiden,['Marc van Oostendorp'],Miracles of Human Language: An Introduction to Linguistics,5 weeks long
University of Copenhagen,"['Jens Juul Holst, MD, DMSc', 'Dr. Signe Sørensen  Torekov, MSc, PhD']",Diabetes - a Global Challenge,5 weeks long
Vanderbilt University,"['Dr. Douglas C. Schmidt', 'Dr. C. Jules White']",Programming Cloud Services for Android Handheld Systems: Security,5 weeks long
"University of California, San Diego ","['Pavel  Pevzner', 'Phillip E. C. Compeau']","Algorithms, Biology, and Programming for Beginners",8 weeks long
American Museum of Natural History,"['Edmond Mathez, Ph.D.', 'Ro Kinzler, Ph.D.']",The Dynamic Earth: A Course for Educators,4 weeks long
University of Illinois at Urbana-Champaign,"['P. Brighten Godfrey', 'Ankit Singla']",Cloud Networking,4 weeks long
UNSW Australia (The University of New South Wales),"['A/Prof. Joanne Travaglia', 'Dr Lesley Halliday', 'Ms Lois Meyer']",Health Leadership: Leading and Managing Healthcare,8 weeks long
University of Washington,"['Rajesh P. N. Rao', 'Adrienne Fairhall']",Computational Neuroscience,8 weeks long
Rice University,"['Luay Nakhleh', 'Scott Rixner', 'Joe Warren']",Algorithmic Thinking (Part 2),4 weeks long
Johns Hopkins University,"['George Everly, Jr., PhD']",Psychological First Aid,6 weeks long
The University of Melbourne,"['Esther Care', 'Patrick Griffin']",Assessment and Teaching of 21st Century Skills,6 weeks long
Northwestern University,"['Gad Allon', 'Jan A. Van Mieghem']",Scaling operations: Linking strategy and execution,5 weeks long
Northwestern University,['Aggelos K. Katsaggelos'],Fundamentals of Digital Image and Video Processing,12 weeks long
"University of California, Irvine",['Racquel Nedden'],Performance Assessment in the Virtual Classroom,5 weeks long
University of Pennsylvania,"['Paul A. Offit, MD']",Vaccines,6 weeks long
The University of Chicago,['John H. Cochrane'],"Asset Pricing, Part 2",6 weeks long
University of Illinois at Urbana-Champaign,['Jiawei Han'],Cluster Analysis in Data Mining,4 weeks long
Vanderbilt University,"['Dr. Douglas C. Schmidt', 'Dr. C. Jules White']",Programming Cloud Services for Android Handheld Systems: Spring,5 weeks long
University of Illinois at Urbana-Champaign,['Roy H. Campbell'],Cloud Computing Applications,4 weeks long
UNSW Australia (The University of New South Wales),"['Dr Caroline Ford', 'Dr Orin Chisholm', 'Dr Sheri Nixdorf', 'Rachel Williams']",Myths and Realities of Personalised Medicine: The Genetic Revolution,8 weeks long
Exploratorium,"['Mike Petrich', 'Karen Wilkinson', 'Luigi Anzivino']",Tinkering Fundamentals: A Constructionist Approach to STEM Learning,6 weeks long
Commonwealth Education Trust,"['Associate Professor Gavin Brown', 'Dr  Peter Keegan', 'Professor John MacBeath']",Foundations of Teaching for Learning 6: Introduction to Student Assessment,6 weeks long
Hebrew University of Jerusalem,"['Shimon Schocken', 'Noam  Nisan']",From Nand to Tetris / Part I,7 weeks long
"University of Maryland, College Park",['Gang Qu'],Hardware Security,6 weeks long
Eindhoven University of Technology,['Wil van der Aalst'],Process Mining: Data science in Action,6 weeks long
Commonwealth Education Trust,"['Dr  Judy Halbert', 'Dr Linda Kaser', 'Professor John MacBeath']",Foundations of Teaching for Learning 5: Planning for Teaching and Learning,6 weeks long
"University of California, San Francisco","['Daniel Lowenstein, MD', 'S. Andrew Josephson, MD', 'Wade Smith, MD']",Introduction to Clinical Neurology,6 weeks long
University of Pennsylvania,['Stewart D.  Friedman'],"Better Leader, Richer Life",10 weeks long
Berklee College of Music,['Thaddeus Hogarth'],Introduction to Guitar,6 weeks long
University of Illinois at Urbana-Champaign,['Indranil Gupta'],Cloud Computing Concepts,5 weeks long
Yale University,['Robert Shiller'],Financial Markets ?????????,8 weeks long
Stanford University,['Dan Boneh'],Cryptography I,6 weeks long
University of Pennsylvania,['Christian Terwiesch'],Introduction to Operations Management,4 weeks long
University of Pennsylvania,['Robert Ghrist'],Calculus: Single Variable,13 weeks long
University of Illinois at Urbana-Champaign,['Aric Rindfleisch'],Marketing in a Digital World,4 weeks long
"University of California, Irvine",['Margaret  Meloni'],Initiating and Planning Projects,4 weeks long
Stanford University,['Andrew Ng'],Machine Learning,10 weeks long
