University,supervisor,title,Duration
"University of Maryland, College Park",['Eric Pacuit'],"Making Better Group Decisions: Voting, Judgement Aggregation and Fair Division",Indeterminate Duration
Brown University,['Sue Alcock'],Archaeology's Dirty Little Secrets,Indeterminate Duration
"University of California, Irvine","['Dr.  Sarah Eichhorn', 'Dr. Rachel Cohen Lehman', 'Melissa Joell Loble, M.A., MBA']",Intermediate Algebra,Indeterminate Duration
Columbia University,['Yannis Tsividis'],MOS Transistors,Indeterminate Duration
"University of California, San Francisco","['Thomas Kearney, Pharm.D., DABAT']",Poisonings in the Home and Community: Assessment and Emergency Response,Indeterminate Duration
University of Toronto,['Geoffrey Hinton'],Neural Networks for Machine Learning,Indeterminate Duration
Rice University,"['Lara Arch', 'Chris ""C. J."" Thompson', 'Lisa Webber', 'Dr. Jarrett Reid Whitaker', 'Dr. Terry K. Talley']",Inquiry Science Learning: Perspectives and Practices 3 - Science Content Survey,Indeterminate Duration
University of Pennsylvania,['Unknown Author'],"Pay Attention!!"" ADHD Through the Lifespan	There are no open sessions.	Indeterminate Duration",
"University of Colorado Boulder & University of Colorado System	['Dr. Robert Erickson']	Introduction to Power Electronics	There are no open sessions.	Indeterminate Duration",,,
"University of Michigan	['Kevin Korsyn"," Ph.D.']	Introduction to Classical Music	There are no open sessions.	Indeterminate Duration",,
"The Hong Kong University of Science and Technology	['Naubahar Sharif']	Science", Technology," and Society in China I: Basic Concepts	There are no open sessions.	Indeterminate Duration",
"University of Houston System	['Bernard R Robin'"," 'Dr. Sara G. McNeil']	Powerful Tools for Teaching and Learning: Digital Storytelling	There are no open sessions.	Indeterminate Duration",,
University of California," San Diego 	['Pavel  Pevzner'", 'Phillip E. C. Compeau',
"Emory University	['Polly J. Price']	Citizenship and U.S. Immigration	There are no open sessions.	Indeterminate Duration",,,
"University of Rochester	['John Covach']	The Music of the Beatles	There are no open sessions.	Indeterminate Duration",,,
"University of London	['Dr Clare Brooks", UCL Institute of Education," University of London']	What future for education?	There are no open sessions.	Indeterminate Duration",
"Georgia Institute of Technology	['Dr. Tucker Balch']	Computational Investing"," Part I	There are no open sessions.	Indeterminate Duration",,
"Brown University	['Monica Linden'"," 'David Sheinberg']	Exploring Neural Data	There are no open sessions.	Indeterminate Duration",,
"Duke University	['Dr. Denise Comer']	English Composition I: Achieving Expertise	There are no open sessions.	Indeterminate Duration",,,
"Northwestern University	['Eric Masanet']	How Green Is That Product? An Introduction to Life Cycle Environmental Assessment	There are no open sessions.	Indeterminate Duration",,,
"University of Florida	['Kristina von Castel-Roberts"," Ph.D.']	Fundamentals of Human Nutrition	There are no open sessions.	Indeterminate Duration",,
University of Maryland," College Park	['Dr. Elsa Barkley Brown']	Women and the Civil Rights Movement	There are no open sessions.	Indeterminate Duration",,
"University of London	['Dr Jenny Thomson']	Supporting children with difficulties in reading and writing	There are no open sessions.	Indeterminate Duration",,,
University of California," Irvine	['Dr. Peter Navarro']	The Power of Macroeconomics: Economic Principles in the Real World	There are no open sessions.	Indeterminate Duration",,
"Columbia University	['Jeffrey Sachs']	The Age of Sustainable Development	There are no open sessions.	Indeterminate Duration",,,
"Yale University	['Akhil Reed Amar']	America's Written Constitution	There are no open sessions.	Indeterminate Duration",,,
Nanyang Technological University," Singapore	['Roderick  Bates ']	Introduction to Forensic Science	There are no open sessions.	Indeterminate Duration",,
"Mt. San Jacinto College	['Lawrence (Larry) Barkley'", 'Ted Blake'," 'Lorrie Ross']	Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing)	There are no open sessions.	Indeterminate Duration",
"New Teacher Center	['Ellen Moir'"," 'Lynn Kepp']	First Year Teaching (Secondary Grades) - Success from the Start	There are no open sessions.	Indeterminate Duration",,
"The University of Chicago	['David Archer']	Global Warming: The Science and Modeling of Climate Change	There are no open sessions.	Indeterminate Duration",,,
"Rutgers University	['Dr. Terry A. Matilsky']	Analyzing the Universe	There are no open sessions.	Indeterminate Duration",,,
"University of Toronto	['James S Wallace']	Wind"," Waves and Tides: Alternative Energy Systems	There are no open sessions.	Indeterminate Duration",,
"Vanderbilt University	['Jay Clayton']	Online Games: Literature", New Media," and Narrative	There are no open sessions.	Indeterminate Duration",
"Johns Hopkins University	['John McGready", PhD," MS']	Statistical Reasoning for Public Health 1: Estimation"," & Interpretation	There are no open sessions.	Indeterminate Duration"
"University of Pennsylvania	['Ezekiel J. Emanuel", MD," PhD']	Health Policy and the Affordable Care Act	There are no open sessions.	Indeterminate Duration",
"Duke University	['David Schanzer']	Responding to 9/11: Counterterrorism Policy in the 21st Century	There are no open sessions.	Indeterminate Duration",,,
"The Hong Kong University of Science and Technology	['King L. Chow'"," 'Lam Lung Yeung']	The Science of Gastronomy	There are no open sessions.	Indeterminate Duration",,
"University of Toronto	['Jean-Paul Restoule']	Aboriginal Worldviews and Education	There are no open sessions.	Indeterminate Duration",,,
"Georgia Institute of Technology	['Dr. May Dongmei Wang']	 Mobile Healthcare technologies for patients and providers	There are no open sessions.	Indeterminate Duration",,,
"The University of Tokyo	['Takeo Igarashi']	Interactive Computer Graphics	There are no open sessions.	Indeterminate Duration",,,
"The Hong Kong University of Science and Technology	['Naubahar Sharif']	Science", Technology," and Society in China II: History of S&T in Chinese Society	There are no open sessions.	Indeterminate Duration",
"University of Nebraska	['Denise H. Britigan", PhD, MA,
"Johns Hopkins University	['Dr. Cheryl Dennison Himmelfarb", RN, ANP, FAAN '
"University of Virginia	['Michael J. Lenox']	Foundations of Business Strategy	There are no open sessions.	Indeterminate Duration",,,
"University of Copenhagen	['Anders Holm']	Measuring Causal Effects in the Social Sciences	There are no open sessions.	Indeterminate Duration",,,
"Hebrew University of Jerusalem	['Jonathan Garb']	Modern European Mysticism and Psychological Thought	There are no open sessions.	Indeterminate Duration",,,
"The University of Melbourne	['Professor Jeffrey Borland']	Generating the Wealth of Nations	There are no open sessions.	Indeterminate Duration",,,
"Technical University of Denmark (DTU)	['Anders Gorm Pedersen']	Computational Molecular Evolution	There are no open sessions.	Indeterminate Duration",,,
"CentraleSupélec	['Nikos Paragios'"," 'Pawan Kumar']	Discrete Inference and Learning in Artificial Vision	There are no open sessions.	Indeterminate Duration",,
"University of Pennsylvania	['Jonathan D. Moreno']	Neuroethics	There are no open sessions.	Indeterminate Duration",,,
"Stanford University	['Dan Jurafsky'"," 'Christopher Manning']	Natural Language Processing	There are no open sessions.	Indeterminate Duration",,
"Duke University	['Prof. Dorian A. Canelas']	Introduction to Chemistry:  Structures and Solutions	There are no open sessions.	Indeterminate Duration",,,
"University of Michigan	['Lada Adamic']	Social Network Analysis	There are no open sessions.	Indeterminate Duration",,,
"Stanford University & The University of British Columbia	['Matthew O. Jackson'", 'Kevin Leyton-Brown'," 'Yoav Shoham']	Game Theory II: Advanced Applications	There are no open sessions.	Indeterminate Duration",
"The University of Tokyo	['Hitoshi Murayama']	From the Big Bang to Dark Energy	There are no open sessions.	Indeterminate Duration",,,
"Universiteit Leiden	['Stefaan Van den Bogaert']	The Law of the European Union: An Introduction	There are no open sessions.	Indeterminate Duration",,,
"University of Toronto	['Jennifer Campbell'"," 'Paul Gries']	Learn to Program: Crafting Quality Code	There are no open sessions.	Indeterminate Duration",,
"State University of New York	['Dr.  Margaret Anne Schedel']	Introduction to Computational Arts: Audio	There are no open sessions.	Indeterminate Duration",,,
University of California," Santa Cruz	['Ira Pohl']	C++ For C Programmers	There are no open sessions.	Indeterminate Duration",,
"IE Business School	['Gayle Allard']	Understanding economic policymaking	There are no open sessions.	Indeterminate Duration",,,
"Higher School of Economics	['Leonid Polishchuk']	Public Economics	There are no open sessions.	Indeterminate Duration",,,
"University of Pennsylvania	['Leslie A.  Billhymer'"," 'Dr.  Mark Alan Hughes']	Sustainability in Practice	There are no open sessions.	Indeterminate Duration",,
"Northwestern University	['Stacia Spencer']	Teaching the Violin and Viola: Creating a Healthy Foundation	There are no open sessions.	Indeterminate Duration",,,
"University of Pennsylvania	['Dr. Emma Anne Meagher']	Fundamentals of Pharmacology	There are no open sessions.	Indeterminate Duration",,,
"École Polytechnique Fédérale de Lausanne	['Jean-Cédric Chappelier'"," 'Jamila Sam']	Initiation à la programmation (en Java)	There are no open sessions.	Indeterminate Duration",,
"École Polytechnique Fédérale de Lausanne	['Christoph Lüthi']	Planning & Design of Sanitation Systems and Technologies 	There are no open sessions.	Indeterminate Duration",,,
"University of Manchester	['Prof Dale Whittington'"," 'Dr Duncan Thomas']	Water Supply and Sanitation Policy in Developing Countries	There are no open sessions.	Indeterminate Duration",,
"Georgia Institute of Technology	['Unknown Author'", 'Dr. Magnus Egerstedt'," 'Unknown Author']	Control of Mobile Robots	There are no open sessions.	Indeterminate Duration",
"California Institute of the Arts	['Ajay Kapur']	Introduction to Programming for Musicians and Digital Artists	There are no open sessions.	Indeterminate Duration",,,
"Vanderbilt University	['Dan Roden"," M.D.']	Case Studies in Personalized Medicine	There are no open sessions.	Indeterminate Duration",,
"Korea Advanced Institute of Science and Technology	['Yang-Hann Kim']	Introduction to Acoustics (Part 1)	There are no open sessions.	Indeterminate Duration",,,
"The University of Edinburgh	['Dr Jessie Paterson'", 'Kay Aitchison', 'Prof Susan Rhind', 'Rachel Whittington'
"The Pennsylvania State University	['Dr. Ottar N. Bjornstad'", 'Dr. Rachel A. Smith', 'Dr. Mary L. Poss', 'Dr. Peter Hudson'
"Stanford University	['Jeff Ullman']	Automata	There are no open sessions.	Indeterminate Duration",,,
"Stanford University	['Larry Diamond']	Democratic Development	There are no open sessions.	Indeterminate Duration",,,
"Duke University	['Orin Starn']	Sports and Society	There are no open sessions.	Indeterminate Duration",,,
University of California," Irvine	['Dr. Adrienne Williams", PhD',
"Duke University	['Marilyn M. Lombardi", Ph.D.', 'Bob Barnes,
"Eindhoven University of Technology	['Bert Blocken']	Sports and Building Aerodynamics	There are no open sessions.	Indeterminate Duration",,,
University of California," San Francisco	['Jerusalem Makonnen", RN," FNP']	Contraception: Choices"
"Commonwealth Education Trust	['Associate Professor George Oduro'"," 'Professor John MacBeath']	Foundations of Teaching for Learning 3: Learners and Learning	There are no open sessions.	Indeterminate Duration",,
,,,
